,0,1
0,"[0.096277222522790806, -1.1738910841713972, -0.99471358484713801, -1.0780783041795541, 13.192822491254491, 11.33176444835297, 12.197646503817149]","[46.209286007256438, 45.159746226542012, 45.456580903997953, 45.290297427910403, 0.022712746103664361, 0.016289044222416348, 0.019887530380835624]"
1,"[0.096277222522790806, 0.092097901515994965, 0.12631843976380805, 0.10985437983107921, 0.043409239457510421, 0.31202829136357635, 0.14102148932551942]","[46.209286007256438, 46.747063839603776, 46.823084183361992, 46.758168244743032, 0.011637873657318323, 0.013283004978894652, 0.011878180446250596]"
2,"[0.096277222522790806, 0.1164827441387893, 0.1086203604774377, 0.09934408792345692, 0.20986814000804219, 0.12820413417851784, 0.031854527169602583]","[46.209286007256438, 46.555349861078909, 46.602898655457437, 46.566556528423639, 0.007489054337868963, 0.008518042199119653, 0.0077315741496438162]"
3,"[0.096277222522790806, -1.828556031242835e+24, 0.10134577032108845, 0.096526722894262784, 1.8992613032744874e+25, 0.05264534710790824, 0.0025914787000935347]","[46.209286007256438, -2.0299623525875381e+24, 46.526892763178971, 46.508270198233163, 4.3929749363986373e+22, 0.0068732236172759295, 0.0064702187982254101]"
4,"[0.096277222522790806, -6.1876132334637339e+106, 0.098250734728865113, 0.09581053449553481, 6.4268713526701477e+107, 0.020498225378356091, 0.0048473357978884484]","[46.209286007256438, -8.0160178097260583e+104, 46.502373368175562, 46.493008489153397, 1.7347201184773272e+103, 0.0063426074333435721, 0.0061399451584775557]"
5,"[0.096277222522790806, -0.098002645695162524, -0.097506284874320309, 2.01792140578176, 2.0127658683884295]","[46.209286007256438, 53.880359211584917, 53.822237867587127, 0.16600717879786886, 0.16474939385852436]"
6,"[0.096277222522790806, 0.028818244393761027, 0.028776738510040145, 0.70067432733698609, 0.70110543536683256]","[46.209286007256438, 53.98957799836775, 53.979020336286709, 0.16837074673453167, 0.16814227183276878]"
7,"[0.096277222522790806, 0.026318156394483112, 0.02631143683349468, 0.72664192313760345, 0.72671171701836101]","[46.209286007256438, 53.838820886818105, 53.836117315863895, 0.16510826153781233, 0.16504975444567102]"
8,"[0.096277222522790806, 0.025610725204760539, 0.025609278389165498, 0.73398977937177246, 0.73400480697183335]","[46.209286007256438, 53.766138786379656, 53.765456011165256, 0.16353537204484256, 0.16352059633040514]"
9,"[0.096277222522790806, 0.025528540102325956, 0.025528158157320006, 0.73484340913259283, 0.73484737627036367]","[46.209286007256438, 53.730481990196317, 53.730288768894596, 0.16276373501548572, 0.16275955357667946]"
10,"[13.020281268727345, 12.537821161908985, 12.112793994010806, 12.330274534519832, 0.03705450726146392, 0.069697977792244764, 0.052994764088914105]","[10.123356388123227, 9.6046806028603644, 9.2090683065500354, 9.4150138838102713, 0.051235555222710109, 0.090314718411557568, 0.069971112065558297]"
11,"[13.020281268727345, 13.084692530194213, 12.768616774628621, 12.857258967734435, 0.0049469946261125053, 0.019328652653854934, 0.012520643573535092]","[10.123356388123227, 10.029278865047075, 9.8632170079295705, 9.9482394252715043, 0.009293115787815583, 0.025696949728931159, 0.017298310573869647]"
12,"[13.020281268727345, 1990450922094294.5, 12.93262561502458, 12.975335247029914, 152873112416936.0, 0.0067322396416504178, 0.0034520008262328497]","[10.123356388123227, -45267963.490768149, 10.02845945339457, 10.069797383147426, 4471636.8641563533, 0.0093740584733331151, 0.0052906371091149878]"
